Issue type,Issue name,Severity,Component,Behavior,Issue description,Affected page,Guideline(s),HTML snippet,CSS selector,Needs review,Needs Review Status,Best practice,How to fix this issue,Issue link,Duplicate Issue of,Timestamp,Issue status
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,p#text-muted/60.text-[12.5px].uppercase.tracking-[0.14em].mb-1,"",Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://accura-cap.vercel.app/,SC 1.4.3,"<p class=""text-muted/60 text-[12.5px] uppercase tracking-[0.14em] mb-1"">Benchmark</p>",.p-4.md\:p-5.hover\:bg-surface:nth-child(4) > .gap-3\.5.text-\[15px\].flex-col > div:nth-child(3) > .text-muted\/60.mb-1.tracking-\[0\.14em\],No,Confirmed,No,"Fix any of the following:
  Element has insufficient color contrast of 2.43 (foreground color: #a6a6a6, background color: #ffffff, font size: 9.4pt (12.5px), font weight: normal). Expected contrast ratio of 4.5:1",https://accessibility.browserstack.com/site-scanner/projects/accuracap.vercel.app-60/builds?thBuildId=b3dvqppopnkqrnuxgysdyz1ptdnx3y6s4fnctruq&recurring=true&tunnel_vision=false&id=accuracap.vercel.app-60&tab=ALLISSUES&activeViolationId=66248&activeComponentId=p%23text-muted%2F60.text-%5B12.5px%5D.uppercase.tracking-%5B0.14em%5D.mb-1&activeBehaviorValue=&activeIssueId=359754616,NA,2026-05-29T07:47:06.099Z,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,a#hover:text-black/70.transition-colors,"",Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://accura-cap.vercel.app/,SC 1.4.3,"<a class=""hover:text-black/70 transition-colors"" href=""/kyc_status_check"">KYC Status</a>","a[href$=""kyc_status_check""]",No,Confirmed,No,"Fix any of the following:
  Element has insufficient color contrast of 2.97 (foreground color: #8e8e8e, background color: #f4f4f4, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1",https://accessibility.browserstack.com/site-scanner/projects/accuracap.vercel.app-60/builds?thBuildId=b3dvqppopnkqrnuxgysdyz1ptdnx3y6s4fnctruq&recurring=true&tunnel_vision=false&id=accuracap.vercel.app-60&tab=ALLISSUES&activeViolationId=66248&activeComponentId=a%23hover%3Atext-black%2F70.transition-colors&activeBehaviorValue=&activeIssueId=359754617,NA,2026-05-29T07:47:06.099Z,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,p#text-muted/60.text-[12.5px].uppercase.tracking-[0.14em].mb-1,"",Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://accura-cap.vercel.app/,SC 1.4.3,"<p class=""text-muted/60 text-[12.5px] uppercase tracking-[0.14em] mb-1"">Market Cap</p>",.p-4.md\:p-5.hover\:bg-surface:nth-child(3) > .gap-3\.5.text-\[15px\].flex-col > div:nth-child(1) > .text-muted\/60.mb-1.tracking-\[0\.14em\],No,Confirmed,No,"Fix any of the following:
  Element has insufficient color contrast of 2.43 (foreground color: #a6a6a6, background color: #ffffff, font size: 9.4pt (12.5px), font weight: normal). Expected contrast ratio of 4.5:1",https://accessibility.browserstack.com/site-scanner/projects/accuracap.vercel.app-60/builds?thBuildId=b3dvqppopnkqrnuxgysdyz1ptdnx3y6s4fnctruq&recurring=true&tunnel_vision=false&id=accuracap.vercel.app-60&tab=ALLISSUES&activeViolationId=66248&activeComponentId=p%23text-muted%2F60.text-%5B12.5px%5D.uppercase.tracking-%5B0.14em%5D.mb-1&activeBehaviorValue=&activeIssueId=359754618,NA,2026-05-29T07:47:06.098Z,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,p#text-muted/60.text-[12.5px].uppercase.tracking-[0.14em].mb-1,"",Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://accura-cap.vercel.app/,SC 1.4.3,"<p class=""text-muted/60 text-[12.5px] uppercase tracking-[0.14em] mb-1"">Market Cap</p>",.p-4.md\:p-5.hover\:bg-surface:nth-child(4) > .gap-3\.5.text-\[15px\].flex-col > div:nth-child(1) > .text-muted\/60.mb-1.tracking-\[0\.14em\],No,Confirmed,No,"Fix any of the following:
  Element has insufficient color contrast of 2.43 (foreground color: #a6a6a6, background color: #ffffff, font size: 9.4pt (12.5px), font weight: normal). Expected contrast ratio of 4.5:1",https://accessibility.browserstack.com/site-scanner/projects/accuracap.vercel.app-60/builds?thBuildId=b3dvqppopnkqrnuxgysdyz1ptdnx3y6s4fnctruq&recurring=true&tunnel_vision=false&id=accuracap.vercel.app-60&tab=ALLISSUES&activeViolationId=66248&activeComponentId=p%23text-muted%2F60.text-%5B12.5px%5D.uppercase.tracking-%5B0.14em%5D.mb-1&activeBehaviorValue=&activeIssueId=359754619,https://accessibility.browserstack.com/site-scanner/projects/accuracap.vercel.app-60/builds?thBuildId=b3dvqppopnkqrnuxgysdyz1ptdnx3y6s4fnctruq&recurring=true&tunnel_vision=false&id=accuracap.vercel.app-60&tab=ALLISSUES&activeViolationId=66248&activeComponentId=p%23text-muted%2F60.text-%5B12.5px%5D.uppercase.tracking-%5B0.14em%5D.mb-1&activeBehaviorValue=&activeIssueId=359754618,2026-05-29T07:47:06.098Z,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,p#text-muted/60.text-[12.5px].uppercase.tracking-[0.14em].mb-1,"",Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://accura-cap.vercel.app/,SC 1.4.3,"<p class=""text-muted/60 text-[12.5px] uppercase tracking-[0.14em] mb-1"">Market Cap</p>",.xl\:grid-cols-4 > .p-4.md\:p-5.hover\:bg-surface:nth-child(1) > .gap-3\.5.text-\[15px\].flex-col > div:nth-child(1) > .text-muted\/60.mb-1.tracking-\[0\.14em\],No,Confirmed,No,"Fix any of the following:
  Element has insufficient color contrast of 2.43 (foreground color: #a6a6a6, background color: #ffffff, font size: 9.4pt (12.5px), font weight: normal). Expected contrast ratio of 4.5:1",https://accessibility.browserstack.com/site-scanner/projects/accuracap.vercel.app-60/builds?thBuildId=b3dvqppopnkqrnuxgysdyz1ptdnx3y6s4fnctruq&recurring=true&tunnel_vision=false&id=accuracap.vercel.app-60&tab=ALLISSUES&activeViolationId=66248&activeComponentId=p%23text-muted%2F60.text-%5B12.5px%5D.uppercase.tracking-%5B0.14em%5D.mb-1&activeBehaviorValue=&activeIssueId=359754620,https://accessibility.browserstack.com/site-scanner/projects/accuracap.vercel.app-60/builds?thBuildId=b3dvqppopnkqrnuxgysdyz1ptdnx3y6s4fnctruq&recurring=true&tunnel_vision=false&id=accuracap.vercel.app-60&tab=ALLISSUES&activeViolationId=66248&activeComponentId=p%23text-muted%2F60.text-%5B12.5px%5D.uppercase.tracking-%5B0.14em%5D.mb-1&activeBehaviorValue=&activeIssueId=359754618,2026-05-29T07:47:06.096Z,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,p#text-muted/60.text-[12.5px].uppercase.tracking-[0.14em].mb-1,"",Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://accura-cap.vercel.app/,SC 1.4.3,"<p class=""text-muted/60 text-[12.5px] uppercase tracking-[0.14em] mb-1"">Market Cap</p>",.bg-surface > .max-w-\[1280px\].mx-auto > .sm\:grid-cols-2.gap-4.md\:gap-5 > .p-4.md\:p-5.hover\:bg-surface:nth-child(2) > .gap-3\.5.text-\[15px\].flex-col > div:nth-child(1) > .text-muted\/60.mb-1.tracking-\[0\.14em\],No,Confirmed,No,"Fix any of the following:
  Element has insufficient color contrast of 2.43 (foreground color: #a6a6a6, background color: #ffffff, font size: 9.4pt (12.5px), font weight: normal). Expected contrast ratio of 4.5:1",https://accessibility.browserstack.com/site-scanner/projects/accuracap.vercel.app-60/builds?thBuildId=b3dvqppopnkqrnuxgysdyz1ptdnx3y6s4fnctruq&recurring=true&tunnel_vision=false&id=accuracap.vercel.app-60&tab=ALLISSUES&activeViolationId=66248&activeComponentId=p%23text-muted%2F60.text-%5B12.5px%5D.uppercase.tracking-%5B0.14em%5D.mb-1&activeBehaviorValue=&activeIssueId=359754621,https://accessibility.browserstack.com/site-scanner/projects/accuracap.vercel.app-60/builds?thBuildId=b3dvqppopnkqrnuxgysdyz1ptdnx3y6s4fnctruq&recurring=true&tunnel_vision=false&id=accuracap.vercel.app-60&tab=ALLISSUES&activeViolationId=66248&activeComponentId=p%23text-muted%2F60.text-%5B12.5px%5D.uppercase.tracking-%5B0.14em%5D.mb-1&activeBehaviorValue=&activeIssueId=359754618,2026-05-29T07:47:06.099Z,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,p#text-muted/60.text-[12.5px].uppercase.tracking-[0.14em].mb-1,"",Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://accura-cap.vercel.app/,SC 1.4.3,"<p class=""text-muted/60 text-[12.5px] uppercase tracking-[0.14em] mb-1"">Benchmark</p>",.p-4.md\:p-5.hover\:bg-surface:nth-child(1) > .gap-3\.5.text-\[15px\].flex-col > div:nth-child(3) > .text-muted\/60.mb-1.tracking-\[0\.14em\],No,Confirmed,No,"Fix any of the following:
  Element has insufficient color contrast of 2.43 (foreground color: #a6a6a6, background color: #ffffff, font size: 9.4pt (12.5px), font weight: normal). Expected contrast ratio of 4.5:1",https://accessibility.browserstack.com/site-scanner/projects/accuracap.vercel.app-60/builds?thBuildId=b3dvqppopnkqrnuxgysdyz1ptdnx3y6s4fnctruq&recurring=true&tunnel_vision=false&id=accuracap.vercel.app-60&tab=ALLISSUES&activeViolationId=66248&activeComponentId=p%23text-muted%2F60.text-%5B12.5px%5D.uppercase.tracking-%5B0.14em%5D.mb-1&activeBehaviorValue=&activeIssueId=359754622,https://accessibility.browserstack.com/site-scanner/projects/accuracap.vercel.app-60/builds?thBuildId=b3dvqppopnkqrnuxgysdyz1ptdnx3y6s4fnctruq&recurring=true&tunnel_vision=false&id=accuracap.vercel.app-60&tab=ALLISSUES&activeViolationId=66248&activeComponentId=p%23text-muted%2F60.text-%5B12.5px%5D.uppercase.tracking-%5B0.14em%5D.mb-1&activeBehaviorValue=&activeIssueId=359754616,2026-05-29T07:47:06.098Z,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,a#hover:text-black/70.transition-colors,"",Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://accura-cap.vercel.app/,SC 1.4.3,"<a class=""hover:text-black/70 transition-colors"" href=""/grievance"">Grievance</a>","a[href$=""grievance""]",No,Confirmed,No,"Fix any of the following:
  Element has insufficient color contrast of 2.97 (foreground color: #8e8e8e, background color: #f4f4f4, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1",https://accessibility.browserstack.com/site-scanner/projects/accuracap.vercel.app-60/builds?thBuildId=b3dvqppopnkqrnuxgysdyz1ptdnx3y6s4fnctruq&recurring=true&tunnel_vision=false&id=accuracap.vercel.app-60&tab=ALLISSUES&activeViolationId=66248&activeComponentId=a%23hover%3Atext-black%2F70.transition-colors&activeBehaviorValue=&activeIssueId=359754623,NA,2026-05-29T07:47:06.099Z,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,p#text-muted/60.text-[12.5px].uppercase.tracking-[0.14em].mb-1,"",Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://accura-cap.vercel.app/,SC 1.4.3,"<p class=""text-muted/60 text-[12.5px] uppercase tracking-[0.14em] mb-1"">Benchmark</p>",.p-4.md\:p-5.hover\:bg-surface:nth-child(2) > .gap-3\.5.text-\[15px\].flex-col > div:nth-child(3) > .text-muted\/60.mb-1.tracking-\[0\.14em\],No,Confirmed,No,"Fix any of the following:
  Element has insufficient color contrast of 2.43 (foreground color: #a6a6a6, background color: #ffffff, font size: 9.4pt (12.5px), font weight: normal). Expected contrast ratio of 4.5:1",https://accessibility.browserstack.com/site-scanner/projects/accuracap.vercel.app-60/builds?thBuildId=b3dvqppopnkqrnuxgysdyz1ptdnx3y6s4fnctruq&recurring=true&tunnel_vision=false&id=accuracap.vercel.app-60&tab=ALLISSUES&activeViolationId=66248&activeComponentId=p%23text-muted%2F60.text-%5B12.5px%5D.uppercase.tracking-%5B0.14em%5D.mb-1&activeBehaviorValue=&activeIssueId=359754624,https://accessibility.browserstack.com/site-scanner/projects/accuracap.vercel.app-60/builds?thBuildId=b3dvqppopnkqrnuxgysdyz1ptdnx3y6s4fnctruq&recurring=true&tunnel_vision=false&id=accuracap.vercel.app-60&tab=ALLISSUES&activeViolationId=66248&activeComponentId=p%23text-muted%2F60.text-%5B12.5px%5D.uppercase.tracking-%5B0.14em%5D.mb-1&activeBehaviorValue=&activeIssueId=359754616,2026-05-29T07:47:06.098Z,visible
color-contrast,Elements must meet minimum color contrast ratio thresholds,serious,p#text-[12.5px].md:text-[13px].tracking-[0.18em].uppercase.text-black/45.mb-3.font-medium,"",Ensure the contrast between foreground and background colors meets WCAG 2 AA minimum contrast ratio thresholds.,https://accura-cap.vercel.app/,SC 1.4.3,"<p class=""text-[12.5px] md:text-[13px] tracking-[0.18em] uppercase text-black/45 mb-3 font-medium"">Products</p>",div:nth-child(3) > .tracking-\[0\.18em\].mb-3.text-black\/45,No,Confirmed,No,"Fix any of the following:
  Element has insufficient color contrast of 2.97 (foreground color: #8e8e8e, background color: #f4f4f4, font size: 9.8pt (13px), font weight: normal). Expected contrast ratio of 4.5:1",https://accessibility.browserstack.com/site-scanner/projects/accuracap.vercel.app-60/builds?thBuildId=b3dvqppopnkqrnuxgysdyz1ptdnx3y6s4fnctruq&recurring=true&tunnel_vision=false&id=accuracap.vercel.app-60&tab=ALLISSUES&activeViolationId=66248&activeComponentId=p%23text-%5B12.5px%5D.md%3Atext-%5B13px%5D.tracking-%5B0.18em%5D.uppercase.text-black%2F45.mb-3.font-medium&activeBehaviorValue=&activeIssueId=359754625,NA,2026-05-29T07:47:06.099Z,visible
